"","X1","FECHA","NOMBRE_DIA","FESTIVO"
"445",445,"3/21/2015","SÁBADO","0"
"446",446,"3/22/2015","DOMINGO","0"
"447",447,"3/23/2015","LUNES","2"
"448",448,"3/24/2015","MARTES","0"
"449",449,"3/25/2015","MIERCOLES","0"
"450",450,"3/26/2015","JUEVES","0"
"451",451,"3/27/2015","VIERNES","0"
"452",452,"3/28/2015","SÁBADO","0"
"453",453,"3/29/2015","DOMINGO","2"
"454",454,"3/30/2015","LUNES","SMS"
"455",455,"3/31/2015","MARTES","SMS"
"456",456,"4/1/2015","MIERCOLES","SMS"
"457",457,"4/2/2015","JUEVES","2"
"458",458,"4/3/2015","VIERNES","2"
"459",459,"4/4/2015","SÁBADO","SMS"
"460",460,"4/5/2015","DOMINGO","2"
"461",461,"4/6/2015","LUNES","0"
"462",462,"4/7/2015","MARTES","0"
"463",463,"4/8/2015","MIERCOLES","0"
"464",464,"4/9/2015","JUEVES","0"
"465",465,"4/10/2015","VIERNES","0"
"466",466,"4/11/2015","SÁBADO","0"
"467",467,"4/12/2015","DOMINGO","0"
"468",468,"4/13/2015","LUNES","0"
"469",469,"4/14/2015","MARTES","0"
"470",470,"4/15/2015","MIERCOLES","0"
"471",471,"4/16/2015","JUEVES","0"
"472",472,"4/17/2015","VIERNES","0"
"473",473,"4/18/2015","SÁBADO","0"
"474",474,"4/19/2015","DOMINGO","0"
"475",475,"4/20/2015","LUNES","0"
"476",476,"4/21/2015","MARTES","0"
"477",477,"4/22/2015","MIERCOLES","0"
"478",478,"4/23/2015","JUEVES","0"
"479",479,"4/24/2015","VIERNES","0"
"480",480,"4/25/2015","SÁBADO","0"
"481",481,"4/26/2015","DOMINGO","0"
"482",482,"4/27/2015","LUNES","0"
"483",483,"4/28/2015","MARTES","0"
"484",484,"4/29/2015","MIERCOLES","0"
"485",485,"4/30/2015","JUEVES","0"
"486",486,"5/1/2015","VIERNES","2"
"487",487,"5/2/2015","SÁBADO","0"
"488",488,"5/3/2015","DOMINGO","0"
"489",489,"5/4/2015","LUNES","0"
"490",490,"5/5/2015","MARTES","0"
"491",491,"5/6/2015","MIERCOLES","0"
"492",492,"5/7/2015","JUEVES","0"
"493",493,"5/8/2015","VIERNES","0"
"494",494,"5/9/2015","SÁBADO","0"
"495",495,"5/10/2015","DOMINGO","DMD"
"496",496,"5/11/2015","LUNES","0"
"497",497,"5/12/2015","MARTES","0"
"498",498,"5/13/2015","MIERCOLES","0"
"499",499,"5/14/2015","JUEVES","0"
"500",500,"5/15/2015","VIERNES","0"
"501",501,"5/16/2015","SÁBADO","0"
"502",502,"5/17/2015","DOMINGO","0"
"503",503,"5/18/2015","LUNES","2"
"504",504,"5/19/2015","MARTES","0"
"505",505,"5/20/2015","MIERCOLES","0"
"506",506,"5/21/2015","JUEVES","0"
"507",507,"5/22/2015","VIERNES","0"
"508",508,"5/23/2015","SÁBADO","0"
"509",509,"5/24/2015","DOMINGO","0"
"510",510,"5/25/2015","LUNES","0"
"511",511,"5/26/2015","MARTES","0"
"512",512,"5/27/2015","MIERCOLES","0"
"513",513,"5/28/2015","JUEVES","0"
"514",514,"5/29/2015","VIERNES","0"
"515",515,"5/30/2015","SÁBADO","0"
"516",516,"5/31/2015","DOMINGO","0"
"517",517,"6/1/2015","LUNES","0"
"518",518,"6/2/2015","MARTES","0"
"519",519,"6/3/2015","MIERCOLES","0"
"520",520,"6/4/2015","JUEVES","0"
"521",521,"6/5/2015","VIERNES","0"
"522",522,"6/6/2015","SÁBADO","0"
"523",523,"6/7/2015","DOMINGO","0"
"524",524,"6/8/2015","LUNES","2"
"525",525,"6/9/2015","MARTES","0"
"526",526,"6/10/2015","MIERCOLES","0"
"527",527,"6/11/2015","JUEVES","0"
"528",528,"6/12/2015","VIERNES","0"
"529",529,"6/13/2015","SÁBADO","0"
"530",530,"6/14/2015","DOMINGO","0"
"531",531,"6/15/2015","LUNES","2"
"532",532,"6/16/2015","MARTES","0"
"533",533,"6/17/2015","MIERCOLES","0"
"534",534,"6/18/2015","JUEVES","0"
"535",535,"6/19/2015","VIERNES","0"
"536",536,"6/20/2015","SÁBADO","0"
"537",537,"6/21/2015","DOMINGO","DPD"
"538",538,"6/22/2015","LUNES","0"
"539",539,"6/23/2015","MARTES","0"
"540",540,"6/24/2015","MIERCOLES","0"
"541",541,"6/25/2015","JUEVES","0"
"542",542,"6/26/2015","VIERNES","0"
"543",543,"6/27/2015","SÁBADO","0"
"544",544,"6/28/2015","DOMINGO","0"
"545",545,"6/29/2015","LUNES","2"
"546",546,"6/30/2015","MARTES","0"
"547",547,"7/1/2015","MIERCOLES","0"
"548",548,"7/2/2015","JUEVES","0"
"549",549,"7/3/2015","VIERNES","0"
"550",550,"7/4/2015","SÁBADO","0"
"551",551,"7/5/2015","DOMINGO","0"
"552",552,"7/6/2015","LUNES","0"
"553",553,"7/7/2015","MARTES","0"
"554",554,"7/8/2015","MIERCOLES","MOG"
"555",555,"7/9/2015","JUEVES","0"
"556",556,"7/10/2015","VIERNES","0"
"557",557,"7/11/2015","SÁBADO","0"
"558",558,"7/12/2015","DOMINGO","0"
"559",559,"7/13/2015","LUNES","0"
"560",560,"7/14/2015","MARTES","0"
"561",561,"7/15/2015","MIERCOLES","0"
"562",562,"7/16/2015","JUEVES","0"
"563",563,"7/17/2015","VIERNES","0"
"564",564,"7/18/2015","SÁBADO","0"
"565",565,"7/19/2015","DOMINGO","0"
"566",566,"7/20/2015","LUNES","2"
"567",567,"7/21/2015","MARTES","0"
"568",568,"7/22/2015","MIERCOLES","0"
"569",569,"7/23/2015","JUEVES","0"
"570",570,"7/24/2015","VIERNES","0"
"571",571,"7/25/2015","SÁBADO","0"
"572",572,"7/26/2015","DOMINGO","0"
"573",573,"7/27/2015","LUNES","0"
"574",574,"7/28/2015","MARTES","0"
"575",575,"7/29/2015","MIERCOLES","0"
"576",576,"7/30/2015","JUEVES","0"
"577",577,"7/31/2015","VIERNES","FDF"
"578",578,"8/1/2015","SÁBADO","FDF"
"579",579,"8/2/2015","DOMINGO","FDF"
"580",580,"8/3/2015","LUNES","FDF"
"581",581,"8/4/2015","MARTES","FDF"
"582",582,"8/5/2015","MIERCOLES","FDF"
"583",583,"8/6/2015","JUEVES","FDF"
"584",584,"8/7/2015","VIERNES","2"
"585",585,"8/8/2015","SÁBADO","FDF"
"586",586,"8/9/2015","DOMINGO","FDF"
"587",587,"8/10/2015","LUNES","0"
"588",588,"8/11/2015","MARTES","0"
